title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
658 Sqm In A Strategic And Serene Environment,land,"sangotedo, ajah, lagos",115000000.0,high,,,,,2026-01-24,NaT,Lagos
Luxury Three Bedroom Terrace With Excellent Finishing,flat/apartment,"sangotedo, ajah, lagos",105000000.0,high,3.0,4.0,35000000.0,2026-04-01,2026-01-24,2026-04,Lagos
Luxury Fairly New 4 Bedroom + A Room Bq,flat/apartment,"maryland, lagos",400000000.0,high,4.0,7.0,100000000.0,,2026-01-24,NaT,Lagos
Aesthetically Built 4 Bedroom Terrace Duplex With Bq,house,"ilupeju, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
"Well Designed Off Plan Glass 3 Bedrooms Condo + Bq, Gym, Elevator, Pool",flat/apartment,"off ahmadu bello way, victoria island (vi), lagos",550000000.0,high,3.0,3.0,183333333.3,,2025-11-09,NaT,Lagos
Lovely 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"orchid, lekki, lagos",330000000.0,high,4.0,4.0,82500000.0,,2026-01-24,NaT,Lagos
Lovely 4 Bedroom Detached Duplex With Bq,detached duplex,"orchid, lekki, lagos",330000000.0,high,4.0,4.0,82500000.0,,2026-01-24,NaT,Lagos
Fully Serviced 3 Bedroom Flat With 24 Hours Light,flat/apartment,"northern foreshore estate, lekki, lagos",180000000.0,high,3.0,3.0,60000000.0,,2026-01-24,NaT,Lagos
3 Bedroom Terraced Duplex With A Room Boys Quarter And Self Compound S,terraced duplex,"lekki scheme ii, lekki peninsula, lekki, lagos",130000000.0,high,3.0,3.0,43333333.33,,2026-01-24,NaT,Lagos
"Contemporary 5 Bedroom Fully Detach  Duplex + Pool+ Elevator, Rooftop",house,"royal garden esatre ajah, lekki, lagos",960000000.0,high,5.0,5.0,192000000.0,,2026-01-05,NaT,Lagos
Lovely 2 Bedroom Apartment,flat/apartment,"ikate, ikate, lekki, lagos",150000000.0,high,2.0,2.0,75000000.0,,2026-01-24,NaT,Lagos
Lovely 5 Bedroom Detached Duplex With Bq,detached duplex,"ikota, ikota, lekki, lagos",250000000.0,high,5.0,5.0,50000000.0,,2026-01-24,NaT,Lagos
4-bedroom Semi-detached Duplex With Bq At Ikota Villa Lekk,semi detached duplex,"ikota villa gra, lekki, ikota, lekki, lagos",200000000.0,high,4.0,4.0,50000000.0,,2026-01-24,NaT,Lagos
New Tastefully Finished 2 Bedrooms Serviced Apartment,flat/apartment,"igbo efon, lekki, lagos",90000000.0,high,2.0,3.0,45000000.0,,2026-01-05,NaT,Lagos
Lovely 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"ologolo, ologolo, lekki, lagos",300000000.0,high,4.0,4.0,75000000.0,,2026-01-24,NaT,Lagos
5 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"vgc estate, vgc, lekki, lagos",400000000.0,high,5.0,6.0,80000000.0,,2026-01-24,NaT,Lagos
Exquisitely Detailed 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",520000000.0,high,5.0,5.0,104000000.0,,2026-01-24,NaT,Lagos
Aesthetically Pleasing 5-bedroom Duplex,house,"chevron tollgate, lekki phase 2, lekki, lagos",480000000.0,high,5.0,5.0,96000000.0,,2026-01-24,NaT,Lagos
5bedroom  Fully Detached Duplex,fully detached,"orchid, lekki phase 2, lekki, lagos",500000000.0,high,5.0,5.0,100000000.0,,2026-01-24,NaT,Lagos
Luxury 2 Bedroom Apartment,flat/apartment,"lekki phase 1, lekki, lagos",230000000.0,high,2.0,2.0,115000000.0,,2026-01-22,NaT,Lagos
400sqm Land,land,"eden gardens estate, ajah, lagos",85000000.0,high,,,,,2026-01-24,NaT,Lagos
Luxury Three Bedroom Terrace With Excellent Finishing,flat/apartment,"sangotedo, ajah, lagos",105000000.0,high,3.0,4.0,35000000.0,2026-04-01,2026-01-24,2026-04,Lagos
5 Bedroom Fully Detached Duplex With A Bq.,fully detached,"fountain spring estate, behind shoprite, sangotedo, ajah, lagos",300000000.0,high,5.0,5.0,60000000.0,,2026-01-24,NaT,Lagos
Luxury Fairly New 4 Bedroom + A Room Bq,flat/apartment,"maryland, lagos",400000000.0,high,4.0,7.0,100000000.0,,2026-01-24,NaT,Lagos
"Contemporary 5 Bedroom Fully Detach  Duplex + Pool+ Elevator, Rooftop",house,"royal garden esatre ajah, lekki, lagos",960000000.0,high,5.0,5.0,192000000.0,,2026-01-05,NaT,Lagos
Contemporary 5 Bedroom Fully Detached Duplex Plus Pool,fully detached,"royal gardens, lekki, lagos",500000000.0,high,5.0,7.0,100000000.0,,2026-01-05,NaT,Lagos
Brand New Spacious 4 Bedroom Terraced Duplex With Bq,terraced duplex,"lekki, lagos",350000000.0,high,4.0,5.0,87500000.0,,2026-01-05,NaT,Lagos
Spacious 3bedroom Terraced Duplex Plus Bq Comes With Solar,terraced duplex,"lekki, lagos",100000000.0,high,3.0,3.0,33333333.33,2025-03-12,2026-01-05,2025-03,Lagos
Brand New Luxury 5bedroom Fully Detached Duplex 320m,fully detached,"lekki, lagos",320000000.0,high,5.0,7.0,64000000.0,2025-03-12,2026-01-05,2025-03,Lagos
Brand New Spacious 1 Bedroom Apartment Available,flat/apartment,"orchid road, lekki, lagos",60000000.0,high,1.0,,60000000.0,2025-05-12,2026-01-05,2025-05,Lagos
4 Bedroom Fully Detached Duplex With Bq,fully detached,"chevron, lekki, lagos",350000000.0,high,4.0,5.0,87500000.0,2025-08-12,2026-01-05,2025-08,Lagos
Brand New Spacious 5 Bedroom Fully Detached Duplex Duplex,fully detached,"chevron, lekki, lagos",550000000.0,high,5.0,6.0,110000000.0,2025-08-12,2026-01-05,2025-08,Lagos
5 Bedroom Luxury Home Available,flat/apartment,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
Contemporary 5 Bedroom Detached Duplex + Bq +pool,detached duplex,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
Contemporary 5 Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
Brand New Spacious  3 Bedrooms Terraced Duplex,terraced duplex,"ikota, lekki, lagos",130000000.0,high,3.0,4.0,43333333.33,2025-01-12,2026-01-05,2025-01,Lagos
Brand New Spacious 4 Bedroom Terraced Duplex Available,terraced duplex,"ikota, lekki, lagos",125000000.0,high,4.0,4.0,31250000.0,2025-10-12,2026-01-05,2025-10,Lagos
New Tastefully Finished 2 Bedrooms Serviced Apartment,flat/apartment,"igbo efon, lekki, lagos",90000000.0,high,2.0,3.0,45000000.0,,2026-01-05,NaT,Lagos
Brand New Spacious 2 Bedroom Apartment Available,flat/apartment,"osapa, lekki, lagos",140000000.0,high,2.0,3.0,70000000.0,,2026-01-05,NaT,Lagos
Spacious  Massive 2 Bedroom Apartment Available,flat/apartment,"agungi, lekki, lagos",110000000.0,high,2.0,3.0,55000000.0,,2026-01-05,NaT,Lagos
An Exquisite 3 Bedroom Apartment With Elevator And Swimming Pool,flat/apartment,"banana island, ikoyi, lagos",1570000000.0,high,4.0,5.0,392500000.0,,2026-01-05,NaT,Lagos
Contemporary 6 Bedroom Fully Detached Duplex  + Pool,fully detached,"royal gardens, ajah, lagos",800000000.0,high,5.0,6.0,160000000.0,,2026-01-05,NaT,Lagos
5 Bedrooms Fully Detached Duplex,fully detached,"royal garden estate, ajah, lagos",600000000.0,high,5.0,6.0,120000000.0,2025-03-12,2026-01-05,2025-03,Lagos
4 Bedroom Semi Detached Duplex With Seperate Mix Use Studio,semi detached duplex,"ikate, lekki, lagos",350000000.0,high,4.0,4.0,87500000.0,2025-06-11,2026-01-16,2025-06,Lagos
Contemporary 5 Bedroom Fully Detached Duplex,fully detached,"chevron, lekki, lagos",450000000.0,high,5.0,6.0,90000000.0,2025-08-12,2026-01-05,2025-08,Lagos
Elegant 4 Bedroom Semi Detached Duplex With Bq,semi detached duplex,"vgc, lekki, lagos",160000000.0,high,4.0,5.0,40000000.0,2025-10-12,2026-01-05,2025-10,Lagos
5 Bedroom Fully Detached Duplex With A Bq,fully detached,"chevron, lekki, lagos",750000000.0,high,5.0,6.0,150000000.0,2025-10-12,2026-01-05,2025-10,Lagos
Brand New Spacious 2 Bedroom Apartment,flat/apartment,"orchid road, lekki, lagos",90000000.0,high,2.0,2.0,45000000.0,2025-12-12,2026-01-05,2025-12,Lagos
Brand New Spacious 3 Bedroom Apartment Available,flat/apartment,"orchid road, lekki, lagos",120000000.0,high,3.0,3.0,40000000.0,2025-12-12,2026-01-05,2025-12,Lagos
1200 Square Meters Commercial Land Available 800m,land,"orchid road, lekki, lagos",800000000.0,high,,,,2026-05-01,2026-01-05,2026-05,Lagos
Brand New Spacious 4 Bedroom Semi Detached Duplex Available Duplex,semi detached duplex,"orchid road, lekki, lagos",150000000.0,high,4.0,5.0,37500000.0,2026-12-01,2026-01-12,2026-12,Lagos
Brand New Spacious 4 Bedroom Terraced Duplex Available,terraced duplex,"orchid road, lekki, lagos",100000000.0,high,4.0,4.0,25000000.0,2026-12-01,2026-01-13,2026-12,Lagos
Spacious 4 Bedroom Terraced Duplex,terraced duplex,"orchid road, lekki, lagos",130000000.0,high,4.0,5.0,32500000.0,,2026-01-21,NaT,Lagos
Now Selling  4 Bedroom Fully Detached Duplex With A Bq,fully detached,"orchid road, lekki, lagos",320000000.0,high,5.0,7.0,64000000.0,,2026-01-21,NaT,Lagos
Brand New Spacious 2 Bedroom Apartment,flat/apartment,"ikate, lekki, lagos",160000000.0,high,2.0,3.0,80000000.0,,2026-01-05,NaT,Lagos
Brand New Spacious 4 Bedroom Terraced Duplex Available,terraced duplex,"ikota, lekki, lagos",125000000.0,high,4.0,4.0,31250000.0,2025-10-12,2026-01-05,2025-10,Lagos
4 Bedroom Semi Detached Duplex With A Bq,semi detached duplex,"ikota, lekki, lagos",200000000.0,high,4.0,5.0,50000000.0,2025-10-12,2026-01-05,2025-10,Lagos
1300 Square Meters Dry Land Available For Urgent Purchase,land,"ikota, lekki, lagos",650000000.0,high,,,,,2026-01-05,NaT,Lagos
Now Selling  4 Bedroom Terrace Duplex Self Compound,house,"ikota, lekki, lagos",150000000.0,high,4.0,5.0,37500000.0,2026-09-01,2026-01-09,2026-09,Lagos
